Origin Document,File,Entity,Entity-Long,Section,Section Title,Part In Document,Description,Link,Symbol,Full Document Symbol,Source
PKM 26/27 (A/80/607),A_80_607.json,UNFICYP,United Nations Peacekeeping Force in Cyprus,,Financing of the United Nations Peacekeeping Force in Cyprus,"Mandate, results achieved and planned outcome","The Security Council, in its resolution 2771 (2025), urged the leaders to increase their support to, and ensure a meaningful role for, civil society engagement in peace efforts, in particular strengthening the participation of women’s organizations and young people in the process.",https://docs.un.org/en/S/RES/2771(2025),2771 (2025),S/RES/2771(2025),Security Council resolutions
PKM 26/27 (A/80/607),A_80_607.json,UNFICYP,United Nations Peacekeeping Force in Cyprus,,Financing of the United Nations Peacekeeping Force in Cyprus,"Mandate, results achieved and planned outcome","Pursuant to Security Council resolution 1325 (2000) and all subsequent resolutions on women and peace and security, UNFICYP will continue to support efforts for the full, meaningful and effective participation of women in peace and political processes and to bring together a broader range of women actors on both sides.",https://docs.un.org/en/S/RES/1325(2000),1325 (2000),S/RES/1325(2000),Security Council resolutions
PKM 26/27 (A/80/607),A_80_607.json,UNFICYP,United Nations Peacekeeping Force in Cyprus,,Financing of the United Nations Peacekeeping Force in Cyprus,"Mandate, results achieved and planned outcome",The Force and the Department of Operational Support conducted a civilian staffing review in the 2024/25 period pursuant to General Assembly resolution 76/274.,https://docs.un.org/en/A/RES/76/274,76/274,A/RES/76/274,General Assembly resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome","The Regional Service Centre in Entebbe, Uganda (RSCE), was established in July 2010, by the General Assembly in its resolution 64/269, as a shared service centre for missions in the region under the global field support strategy.",https://docs.un.org/en/A/RES/64/269,64/269,A/RES/64/269,General Assembly resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome","In its resolution 69/307, the General Assembly decided to give RSCE operational and managerial independence and requested that the Secretary-General submit a budget proposal for the Centre for the period from 1 July 2016 to 30 June 2017, to be charged against the client missions.",https://docs.un.org/en/A/RES/69/307,69/307,A/RES/69/307,General Assembly resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome","The Centre’s mandate was expanded to provide additional services to other entities, as well as to develop broader cooperation with regional organizations, such as the African Union, following the adoption by the General Assembly of its resolution 78/294.",https://docs.un.org/en/A/RES/78/294,78/294,A/RES/78/294,General Assembly resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome",1,https://docs.un.org/en/S/RES/2713(2023),Panel of Experts pursuant to resolution 2713 (2023),S/RES/2713(2023),Security Council resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome",The Centre made a smooth transition to supporting the United Nations Transitional Assistance Mission in Somalia after the United Nations Assistance Mission in Somalia ended its operations on 31 October 2024 pursuant to Security Council resolution 2753 (2024).,https://docs.un.org/en/S/RES/2753(2024),2753 (2024),S/RES/2753(2024),Security Council resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome","The budgets of tenant units were transferred to their parent offices under the support account, effective from the 2025/26 period, as approved by the General Assembly in its resolution 79/300.",https://docs.un.org/en/A/RES/79/300,79/300,A/RES/79/300,General Assembly resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome","15) and endorsed by the General Assembly in its resolution 77/306, are presented in table 2.",https://docs.un.org/en/A/RES/77/306,77/306,A/RES/77/306,General Assembly resolutions
